,ScriptName,Close,Percentage Change
0,Reliance Industries Ltd.,2618.0,0.0
1,HDFC Bank Ltd.,1465.0999755859375,0.0
2,Infosys Ltd.,1521.550048828125,0.0
3,ICICI Bank Ltd.,870.8499755859375,0.0
4,Housing Development Finance Corporation Ltd.,2396.699951171875,0.0
5,Tata Consultancy Services Ltd.,3222.199951171875,0.0
6,Kotak Mahindra Bank Ltd.,1902.050048828125,0.0
7,ITC Ltd.,312.8999938964844,0.0
8,Hindustan Unilever Ltd.,2571.550048828125,0.0
9,Larsen & Toubro Ltd.,1905.4000244140625,0.0
10,State Bank Of India,523.7999877929688,0.0
11,AXIS Bank Ltd.,744.9000244140625,0.0
12,Bharti Airtel Ltd.,730.8499755859375,0.0
13,Bajaj Finance Ltd.,7062.10009765625,0.0
14,Asian Paints,3323.550048828125,0.0
15,Maruti Suzuki India Ltd.,8720.599609375,0.0
16,Mahindra & Mahindra Ltd.,1274.6500244140625,0.0
17,HCL Technologies Ltd.,945.6500244140625,0.0
18,Sun Pharmaceutical Industries Ltd.,880.1500244140625,0.0
19,Titan,2532.89990234375,0.0
20,Tata Motors Ltd.,465.04998779296875,0.0
21,Power Grid Corporation of India Ltd.,230.4499969482422,0.0
22,Tata Steel Ltd.,107.3499984741211,0.0
23,NTPC Ltd.,163.39999389648438,0.0
24,Bajaj Finserv Ltd.,16286.0,0.0
25,UltraTech Cement Ltd.,6517.14990234375,0.0
26,Tech Mahindra Ltd.,1085.550048828125,0.0
27,Nestle India Ltd.,19528.099609375,0.0
28,Wipro Ltd.,417.25,0.0
29,Oil And Natural Gas Corporation Ltd.,136.64999389648438,0.0
30,JSW Steel Ltd.,667.0,0.0
31,Dr. Reddy’s Laboratories Ltd.,4223.2998046875,0.0
32,IndusInd Bank Ltd.,1069.75,0.0
33,HDFC Life Insurance Co.,566.9000244140625,0.0
34,Grasim Industries Ltd.,1675.25,0.0
35,Cipla Ltd.,1020.7999877929688,0.0
36,Hindalco Industries Ltd.,440.04998779296875,0.0
37,Adani Port and Special Economic Zone Ltd.,837.7000122070312,0.0
38,SBI Life Insurance Co.,1313.699951171875,0.0
39,Bajaj Auto Ltd.,4054.39990234375,0.0
40,Divi’s Laboratories Ltd.,3587.5,0.0
41,Tata Consumer Products Ltd.,801.9500122070312,0.0
42,Britannia Industries Ltd.,3650.14990234375,0.0
43,Coal India Ltd,229.9499969482422,0.0
44,Eicher Motors Ltd.,3355.10009765625,0.0
45,Appolo Hospital,4215.25,0.0
46,Hero MotoCorp Ltd.,2826.75,0.0
47,UPL Ltd.,760.0,0.0
48,Bharat Petroleum Corp. Ltd.,329.1000061035156,0.0
49,Shree Cement Ltd.,22097.900390625,0.0
